split	family	scenario	root	regime	center_distance	family_code	expert	budget	attempt_wall_us	accepted	execution_failure	gate_mismatch	terminal_wall_us
training	ConditionedQuadratic	3	1.6142857142857143	0.05078125	0.44921875	0	conditioned-middle-v1	2	130.375	0	0	0	151.834
training	ConditionedQuadratic	3	1.6142857142857143	0.05078125	0.44921875	0	conditioned-middle-v1	3	165.25	1	0	0	151.834
training	ConditionedQuadratic	3	1.6142857142857143	0.05078125	0.44921875	0	conditioned-middle-v1	4	165.459	1	0	0	151.834
training	ConditionedQuadratic	3	1.6142857142857143	0.05078125	0.44921875	0	conditioned-high-v1	0	54.751000000000005	0	0	0	151.834
training	ConditionedQuadratic	3	1.6142857142857143	0.05078125	0.44921875	0	conditioned-high-v1	2	126.958	0	0	0	151.834
training	ConditionedQuadratic	3	1.6142857142857143	0.05078125	0.44921875	0	conditioned-high-v1	3	161.375	1	0	0	151.834
training	ConditionedQuadratic	3	1.6142857142857143	0.05078125	0.44921875	0	conditioned-high-v1	4	160.667	1	0	0	151.834
training	ConditionedQuadratic	4	1.7452380952380953	0.06640625	0.43359375	0	conditioned-low-v1	0	32.625	1	0	0	151.625
training	ConditionedQuadratic	4	1.7452380952380953	0.06640625	0.43359375	0	conditioned-low-v1	2	32.167000000000002	1	0	0	151.625
training	ConditionedQuadratic	4	1.7452380952380953	0.06640625	0.43359375	0	conditioned-low-v1	3	32.290999999999997	1	0	0	151.625
training	ConditionedQuadratic	4	1.7452380952380953	0.06640625	0.43359375	0	conditioned-low-v1	4	32.165999999999997	1	0	0	151.625
training	ConditionedQuadratic	4	1.7452380952380953	0.06640625	0.43359375	0	conditioned-middle-v1	0	57.457999999999998	0	0	0	151.625
training	ConditionedQuadratic	4	1.7452380952380953	0.06640625	0.43359375	0	conditioned-middle-v1	2	129.208	0	0	0	151.625
training	ConditionedQuadratic	4	1.7452380952380953	0.06640625	0.43359375	0	conditioned-middle-v1	3	164.166	1	0	0	151.625
training	ConditionedQuadratic	4	1.7452380952380953	0.06640625	0.43359375	0	conditioned-middle-v1	4	165.166	1	0	0	151.625
training	ConditionedQuadratic	4	1.7452380952380953	0.06640625	0.43359375	0	conditioned-high-v1	0	54.251000000000005	0	0	0	151.625
training	ConditionedQuadratic	4	1.7452380952380953	0.06640625	0.43359375	0	conditioned-high-v1	2	127.625	0	0	0	151.625
training	ConditionedQuadratic	4	1.7452380952380953	0.06640625	0.43359375	0	conditioned-high-v1	3	160.834	1	0	0	151.625
training	ConditionedQuadratic	4	1.7452380952380953	0.06640625	0.43359375	0	conditioned-high-v1	4	160.667	1	0	0	151.625
training	ConditionedQuadratic	5	1.8761904761904762	0.08203125	0.41796875	0	conditioned-low-v1	0	32.792000000000002	1	0	0	188.875
training	ConditionedQuadratic	5	1.8761904761904762	0.08203125	0.41796875	0	conditioned-low-v1	2	32.5	1	0	0	188.875
training	ConditionedQuadratic	5	1.8761904761904762	0.08203125	0.41796875	0	conditioned-low-v1	3	32.5	1	0	0	188.875
training	ConditionedQuadratic	5	1.8761904761904762	0.08203125	0.41796875	0	conditioned-low-v1	4	32.375	1	0	0	188.875
training	ConditionedQuadratic	5	1.8761904761904762	0.08203125	0.41796875	0	conditioned-middle-v1	0	56.623999999999995	0	0	0	188.875
training	ConditionedQuadratic	5	1.8761904761904762	0.08203125	0.41796875	0	conditioned-middle-v1	2	129.625	0	0	0	188.875
training	ConditionedQuadratic	5	1.8761904761904762	0.08203125	0.41796875	0	conditioned-middle-v1	3	162.667	1	0	0	188.875
training	ConditionedQuadratic	5	1.8761904761904762	0.08203125	0.41796875	0	conditioned-middle-v1	4	164.542	1	0	0	188.875
training	ConditionedQuadratic	5	1.8761904761904762	0.08203125	0.41796875	0	conditioned-high-v1	0	54.123999999999995	0	0	0	188.875
training	ConditionedQuadratic	5	1.8761904761904762	0.08203125	0.41796875	0	conditioned-high-v1	2	125.54200000000003	0	0	0	188.875
training	ConditionedQuadratic	5	1.8761904761904762	0.08203125	0.41796875	0	conditioned-high-v1	3	160.292	1	0	0	188.875
training	ConditionedQuadratic	5	1.8761904761904762	0.08203125	0.41796875	0	conditioned-high-v1	4	160.292	1	0	0	188.875
training	ConditionedQuadratic	6	1.2452380952380953	0.09765625	0.40234375	0	conditioned-low-v1	0	35.626000000000005	0	0	0	152.417
training	ConditionedQuadratic	6	1.2452380952380953	0.09765625	0.40234375	0	conditioned-low-v1	2	104.792	1	0	0	152.417
training	ConditionedQuadratic	6	1.2452380952380953	0.09765625	0.40234375	0	conditioned-low-v1	3	104.791	1	0	0	152.417
training	ConditionedQuadratic	6	1.2452380952380953	0.09765625	0.40234375	0	conditioned-low-v1	4	104.584	1	0	0	152.417
training	ConditionedQuadratic	6	1.2452380952380953	0.09765625	0.40234375	0	conditioned-middle-v1	0	55.415999999999997	0	0	0	152.417
training	ConditionedQuadratic	6	1.2452380952380953	0.09765625	0.40234375	0	conditioned-middle-v1	2	127.125	0	0	0	152.417
training	ConditionedQuadratic	6	1.2452380952380953	0.09765625	0.40234375	0	conditioned-middle-v1	3	162.083	1	0	0	152.417
training	ConditionedQuadratic	6	1.2452380952380953	0.09765625	0.40234375	0	conditioned-middle-v1	4	161.25	1	0	0	152.417
training	ConditionedQuadratic	6	1.2452380952380953	0.09765625	0.40234375	0	conditioned-high-v1	0	53.375	0	0	0	152.417
training	ConditionedQuadratic	6	1.2452380952380953	0.09765625	0.40234375	0	conditioned-high-v1	2	126.209	0	0	0	152.417
training	ConditionedQuadratic	6	1.2452380952380953	0.09765625	0.40234375	0	conditioned-high-v1	3	160.292	1	0	0	152.417
training	ConditionedQuadratic	6	1.2452380952380953	0.09765625	0.40234375	0	conditioned-high-v1	4	159.625	1	0	0	152.417
training	ConditionedQuadratic	7	1.3761904761904762	0.11328125	0.38671875	0	conditioned-low-v1	0	36.123999999999995	0	0	0	154.667
training	ConditionedQuadratic	7	1.3761904761904762	0.11328125	0.38671875	0	conditioned-low-v1	2	105.125	1	0	0	154.667
training	ConditionedQuadratic	7	1.3761904761904762	0.11328125	0.38671875	0	conditioned-low-v1	3	106.208	1	0	0	154.667
training	ConditionedQuadratic	7	1.3761904761904762	0.11328125	0.38671875	0	conditioned-low-v1	4	105.25	1	0	0	154.667
training	ConditionedQuadratic	7	1.3761904761904762	0.11328125	0.38671875	0	conditioned-middle-v1	0	54.457999999999998	0	0	0	154.667
training	ConditionedQuadratic	7	1.3761904761904762	0.11328125	0.38671875	0	conditioned-middle-v1	2	126.04199999999997	0	0	0	154.667
training	ConditionedQuadratic	7	1.3761904761904762	0.11328125	0.38671875	0	conditioned-middle-v1	3	161.042	1	0	0	154.667
training	ConditionedQuadratic	7	1.3761904761904762	0.11328125	0.38671875	0	conditioned-middle-v1	4	160.875	1	0	0	154.667
training	ConditionedQuadratic	7	1.3761904761904762	0.11328125	0.38671875	0	conditioned-high-v1	0	52.917000000000002	0	0	0	154.667
training	ConditionedQuadratic	7	1.3761904761904762	0.11328125	0.38671875	0	conditioned-high-v1	2	124.66600000000003	0	0	0	154.667
training	ConditionedQuadratic	7	1.3761904761904762	0.11328125	0.38671875	0	conditioned-high-v1	3	159.25	1	0	0	154.667
training	ConditionedQuadratic	7	1.3761904761904762	0.11328125	0.38671875	0	conditioned-high-v1	4	159.333	1	0	0	154.667
training	ConditionedQuadratic	8	1.5071428571428571	0.12890625	0.37109375	0	conditioned-low-v1	0	36.25	0	0	0	151.583
training	ConditionedQuadratic	8	1.5071428571428571	0.12890625	0.37109375	0	conditioned-low-v1	2	105.334	1	0	0	151.583
training	ConditionedQuadratic	8	1.5071428571428571	0.12890625	0.37109375	0	conditioned-low-v1	3	104.959	1	0	0	151.583
training	ConditionedQuadratic	8	1.5071428571428571	0.12890625	0.37109375	0	conditioned-low-v1	4	105.375	1	0	0	151.583
training	ConditionedQuadratic	8	1.5071428571428571	0.12890625	0.37109375	0	conditioned-middle-v1	0	53.667000000000002	0	0	0	151.583
training	ConditionedQuadratic	8	1.5071428571428571	0.12890625	0.37109375	0	conditioned-middle-v1	2	126.583	0	0	0	151.583
training	ConditionedQuadratic	8	1.5071428571428571	0.12890625	0.37109375	0	conditioned-middle-v1	3	160.083	1	0	0	151.583
training	ConditionedQuadratic	8	1.5071428571428571	0.12890625	0.37109375	0	conditioned-middle-v1	4	159.875	1	0	0	151.583
training	ConditionedQuadratic	8	1.5071428571428571	0.12890625	0.37109375	0	conditioned-high-v1	0	52.375	0	0	0	151.583
training	ConditionedQuadratic	8	1.5071428571428571	0.12890625	0.37109375	0	conditioned-high-v1	2	123.87499999999997	0	0	0	151.583
training	ConditionedQuadratic	8	1.5071428571428571	0.12890625	0.37109375	0	conditioned-high-v1	3	159.291	1	0	0	151.583
training	ConditionedQuadratic	8	1.5071428571428571	0.12890625	0.37109375	0	conditioned-high-v1	4	158.333	1	0	0	151.583
training	ConditionedQuadratic	9	1.638095238095238	0.14453125	0.35546875	0	conditioned-low-v1	0	36.417000000000002	0	0	0	152.125
training	ConditionedQuadratic	9	1.638095238095238	0.14453125	0.35546875	0	conditioned-low-v1	2	105.709	1	0	0	152.125
training	ConditionedQuadratic	9	1.638095238095238	0.14453125	0.35546875	0	conditioned-low-v1	3	105.542	1	0	0	152.125
training	ConditionedQuadratic	9	1.638095238095238	0.14453125	0.35546875	0	conditioned-low-v1	4	105.917	1	0	0	152.125
training	ConditionedQuadratic	9	1.638095238095238	0.14453125	0.35546875	0	conditioned-middle-v1	0	52.665999999999997	0	0	0	152.125
training	ConditionedQuadratic	9	1.638095238095238	0.14453125	0.35546875	0	conditioned-middle-v1	2	124.95899999999997	0	0	0	152.125
training	ConditionedQuadratic	9	1.638095238095238	0.14453125	0.35546875	0	conditioned-middle-v1	3	159.25	1	0	0	152.125
training	ConditionedQuadratic	9	1.638095238095238	0.14453125	0.35546875	0	conditioned-middle-v1	4	159.541	1	0	0	152.125
training	ConditionedQuadratic	9	1.638095238095238	0.14453125	0.35546875	0	conditioned-high-v1	0	52.082999999999998	0	0	0	152.125
training	ConditionedQuadratic	9	1.638095238095238	0.14453125	0.35546875	0	conditioned-high-v1	2	125.25000000000003	0	0	0	152.125
training	ConditionedQuadratic	9	1.638095238095238	0.14453125	0.35546875	0	conditioned-high-v1	3	158.709	1	0	0	152.125
training	ConditionedQuadratic	9	1.638095238095238	0.14453125	0.35546875	0	conditioned-high-v1	4	159.625	1	0	0	152.125
training	ConditionedQuadratic	10	1.769047619047619	0.16015625	0.33984375	0	conditioned-low-v1	0	44.75	0	0	0	153.5
