% Generated by benchmark/analyze_operator_shared_baseline.py.
workload speedup
LinearOperator 1.0527063313
LinearSharedBaseline 0.8362067540
NonlinearOperator 1.5360666228
NonlinearSharedBaseline 0.5924980803
CalibratedRouter 2.2821724294
FusedLinearGate 1.8333472673
FusedNonlinearGate 1.3796487055
