split	matrix	request	rows	nonzeros	positive_definite	action_count	terminal_wall_us	terminal_success	terminal_attempt_count
calibration	dw256A	oscillatory-tol10	512	2480	0	11	10125.583999999999	1	3
calibration	dw256A	sparse-tol6	512	2480	0	11	6089.2079999999996	1	1
calibration	dw256A	sparse-tol10	512	2480	0	11	8600.0830000000005	1	3
calibration	dw256A	random-like-tol6	512	2480	0	11	6382.25	1	1
calibration	dw256A	random-like-tol10	512	2480	0	11	8306.5840000000007	1	1
heldout	nd3k	smooth-tol6	9000	3279690	1	10	16151909.333000001	1	4
heldout	nd3k	smooth-tol10	9000	3279690	1	10	15966222.416000001	1	4
heldout	nd3k	oscillatory-tol6	9000	3279690	1	10	15998981.041999999	1	4
heldout	nd3k	oscillatory-tol10	9000	3279690	1	10	15869763.541999999	1	4
heldout	nd3k	sparse-tol6	9000	3279690	1	10	17037181.541000001	1	4
heldout	nd3k	sparse-tol10	9000	3279690	1	10	18811329.082000002	1	4
heldout	nd3k	random-like-tol6	9000	3279690	1	10	14547548.333000001	1	4
heldout	nd3k	random-like-tol10	9000	3279690	1	10	15497406.290999999	1	4
heldout	meg4	smooth-tol6	5860	25258	0	6	1252.7919999999999	1	1
heldout	meg4	smooth-tol10	5860	25258	0	6	1339.125	1	1
heldout	meg4	oscillatory-tol6	5860	25258	0	6	1236.4580000000001	1	1
heldout	meg4	oscillatory-tol10	5860	25258	0	6	1337.2919999999999	1	1
heldout	meg4	sparse-tol6	5860	25258	0	6	1254.2080000000001	1	1
heldout	meg4	sparse-tol10	5860	25258	0	6	1247	1	1
heldout	meg4	random-like-tol6	5860	25258	0	6	1239.0419999999999	1	1
heldout	meg4	random-like-tol10	5860	25258	0	6	1340.5	1	1
heldout	g7jac020	smooth-tol6	5850	42568	0	6	68380.081999999995	1	3
heldout	g7jac020	smooth-tol10	5850	42568	0	6	68732.917000000001	1	3
heldout	g7jac020	oscillatory-tol6	5850	42568	0	6	69749.123999999996	1	3
heldout	g7jac020	oscillatory-tol10	5850	42568	0	6	68326.875	1	3
heldout	g7jac020	sparse-tol6	5850	42568	0	6	69599.709000000003	1	3
heldout	g7jac020	sparse-tol10	5850	42568	0	6	67626.792000000001	1	3
heldout	g7jac020	random-like-tol6	5850	42568	0	6	69953.792000000001	1	3
heldout	g7jac020	random-like-tol10	5850	42568	0	6	68712.582999999999	1	3
