split	matrix	request	repetition	schedule_position	attempt_index	backend	budget	executed_iterations	status	wall_us	residual_inf
training	crystm01	smooth-tol6	1	3	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	131.958	6.8011308530208703e-12
training	crystm01	smooth-tol6	1	3	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	48726.917000000001	2.3426013441443167e-26
training	crystm01	smooth-tol6	2	6	0	pcg-ic0-cpu-v1	250	0	gate-rejected	5060.5420000000004	6.8011308530208703e-12
training	crystm01	smooth-tol6	2	6	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	420.709	6.8011308530208703e-12
training	crystm01	smooth-tol6	2	6	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	52862.957999999999	2.3426013441443167e-26
training	crystm01	smooth-tol6	3	7	0	pcg-ic0-cpu-v1	250	0	gate-rejected	3026.8330000000001	6.8011308530208703e-12
training	crystm01	smooth-tol6	3	7	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	134.042	6.8011308530208703e-12
training	crystm01	smooth-tol6	3	7	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	46829.332999999999	2.3426013441443167e-26
training	crystm01	smooth-tol6	4	2	0	pcg-ic0-cpu-v1	250	0	gate-rejected	2258.5	6.8011308530208703e-12
training	crystm01	smooth-tol6	4	2	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	191.25	6.8011308530208703e-12
training	crystm01	smooth-tol6	4	2	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	47060.917000000001	2.3426013441443167e-26
training	crystm01	smooth-tol10	0	10	0	pcg-ic0-cpu-v1	250	0	gate-rejected	3176.1660000000002	6.8011308530208703e-12
training	crystm01	smooth-tol10	0	10	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	142.542	6.8011308530208703e-12
training	crystm01	smooth-tol10	0	10	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	51424.75	2.3426013441443167e-26
training	crystm01	smooth-tol10	1	3	0	pcg-ic0-cpu-v1	250	0	gate-rejected	3629.8330000000001	6.8011308530208703e-12
training	crystm01	smooth-tol10	1	3	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	179.292	6.8011308530208703e-12
training	crystm01	smooth-tol10	1	3	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	79662.875	2.3426013441443167e-26
training	crystm01	smooth-tol10	2	6	0	pcg-ic0-cpu-v1	250	0	gate-rejected	2093.1669999999999	6.8011308530208703e-12
training	crystm01	smooth-tol10	2	6	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	132.5	6.8011308530208703e-12
training	crystm01	smooth-tol10	2	6	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	49807.917000000001	2.3426013441443167e-26
training	crystm01	smooth-tol10	3	7	0	pcg-ic0-cpu-v1	250	0	gate-rejected	4219.875	6.8011308530208703e-12
training	crystm01	smooth-tol10	3	7	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	361.75	6.8011308530208703e-12
training	crystm01	smooth-tol10	3	7	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	49532.915999999997	2.3426013441443167e-26
training	crystm01	smooth-tol10	4	2	0	pcg-ic0-cpu-v1	250	0	gate-rejected	3363.375	6.8011308530208703e-12
training	crystm01	smooth-tol10	4	2	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	134.625	6.8011308530208703e-12
training	crystm01	smooth-tol10	4	2	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	48598.209000000003	2.3426013441443167e-26
training	crystm01	oscillatory-tol6	0	10	0	pcg-ic0-cpu-v1	250	0	accepted	3171.8330000000001	3.2456586325189363e-13
training	crystm01	oscillatory-tol6	1	3	0	pcg-ic0-cpu-v1	250	0	accepted	2399.3330000000001	3.2456586325189363e-13
training	crystm01	oscillatory-tol6	2	6	0	pcg-ic0-cpu-v1	250	0	accepted	2874.25	3.2456586325189363e-13
training	crystm01	oscillatory-tol6	3	7	0	pcg-ic0-cpu-v1	250	0	accepted	3434.625	3.2456586325189363e-13
training	crystm01	oscillatory-tol6	4	2	0	pcg-ic0-cpu-v1	250	0	accepted	2696.125	3.2456586325189363e-13
training	crystm01	oscillatory-tol10	0	10	0	pcg-ic0-cpu-v1	250	0	accepted	3336.0839999999998	3.2456586325189363e-13
training	crystm01	oscillatory-tol10	1	3	0	pcg-ic0-cpu-v1	250	0	accepted	3051.875	3.2456586325189363e-13
training	crystm01	oscillatory-tol10	2	6	0	pcg-ic0-cpu-v1	250	0	accepted	2504.8339999999998	3.2456586325189363e-13
training	crystm01	oscillatory-tol10	3	7	0	pcg-ic0-cpu-v1	250	0	accepted	2695.2080000000001	3.2456586325189363e-13
training	crystm01	oscillatory-tol10	4	2	0	pcg-ic0-cpu-v1	250	0	accepted	3077.375	3.2456586325189363e-13
training	crystm01	sparse-tol6	0	10	0	pcg-ic0-cpu-v1	250	0	gate-rejected	4491.4579999999996	2.0133190117507048e-12
training	crystm01	sparse-tol6	0	10	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	356.334	2.0133190117507048e-12
training	crystm01	sparse-tol6	0	10	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	56870	2.0194839173657902e-27
training	crystm01	sparse-tol6	1	3	0	pcg-ic0-cpu-v1	250	0	gate-rejected	4449.9579999999996	2.0133190117507048e-12
training	crystm01	sparse-tol6	1	3	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	463.79199999999997	2.0133190117507048e-12
training	crystm01	sparse-tol6	1	3	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	54848	2.0194839173657902e-27
training	crystm01	sparse-tol6	2	6	0	pcg-ic0-cpu-v1	250	0	gate-rejected	3017	2.0133190117507048e-12
training	crystm01	sparse-tol6	2	6	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	176.875	2.0133190117507048e-12
training	crystm01	sparse-tol6	2	6	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	47296.207999999999	2.0194839173657902e-27
training	crystm01	sparse-tol6	3	7	0	pcg-ic0-cpu-v1	250	0	gate-rejected	2639.9589999999998	2.0133190117507048e-12
training	crystm01	sparse-tol6	3	7	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	137.292	2.0133190117507048e-12
training	crystm01	sparse-tol6	3	7	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	49694.832999999999	2.0194839173657902e-27
training	crystm01	sparse-tol6	4	2	0	pcg-ic0-cpu-v1	250	0	gate-rejected	2161	2.0133190117507048e-12
training	crystm01	sparse-tol6	4	2	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	131.125	2.0133190117507048e-12
training	crystm01	sparse-tol6	4	2	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	53686.875	2.0194839173657902e-27
training	crystm01	sparse-tol10	0	10	0	pcg-ic0-cpu-v1	250	0	gate-rejected	3021.4160000000002	2.0133190117507048e-12
training	crystm01	sparse-tol10	0	10	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	259.33300000000003	2.0133190117507048e-12
training	crystm01	sparse-tol10	0	10	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	51649.667000000001	2.0194839173657902e-27
training	crystm01	sparse-tol10	1	3	0	pcg-ic0-cpu-v1	250	0	gate-rejected	2596.625	2.0133190117507048e-12
training	crystm01	sparse-tol10	1	3	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	142.416	2.0133190117507048e-12
training	crystm01	sparse-tol10	1	3	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	45879.082999999999	2.0194839173657902e-27
training	crystm01	sparse-tol10	2	6	0	pcg-ic0-cpu-v1	250	0	gate-rejected	2104.5	2.0133190117507048e-12
training	crystm01	sparse-tol10	2	6	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	156.083	2.0133190117507048e-12
training	crystm01	sparse-tol10	2	6	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	43025.5	2.0194839173657902e-27
training	crystm01	sparse-tol10	3	7	0	pcg-ic0-cpu-v1	250	0	gate-rejected	2134.5839999999998	2.0133190117507048e-12
training	crystm01	sparse-tol10	3	7	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	242.958	2.0133190117507048e-12
training	crystm01	sparse-tol10	3	7	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	46809.332999999999	2.0194839173657902e-27
training	crystm01	sparse-tol10	4	2	0	pcg-ic0-cpu-v1	250	0	gate-rejected	15350.290999999999	2.0133190117507048e-12
training	crystm01	sparse-tol10	4	2	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	2511	2.0133190117507048e-12
training	crystm01	sparse-tol10	4	2	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	53982.334000000003	2.0194839173657902e-27
training	crystm01	random-like-tol6	0	10	0	pcg-ic0-cpu-v1	250	0	gate-rejected	4990	3.0240338594204189e-12
training	crystm01	random-like-tol6	0	10	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	136.375	3.0240338594204189e-12
training	crystm01	random-like-tol6	0	10	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	55665.75	9.6935228033557931e-27
training	crystm01	random-like-tol6	1	3	0	pcg-ic0-cpu-v1	250	0	gate-rejected	3436.7919999999999	3.0240338594204189e-12
training	crystm01	random-like-tol6	1	3	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	236	3.0240338594204189e-12
training	crystm01	random-like-tol6	1	3	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	59921.375	9.6935228033557931e-27
training	crystm01	random-like-tol6	2	6	0	pcg-ic0-cpu-v1	250	0	gate-rejected	2219.375	3.0240338594204189e-12
training	crystm01	random-like-tol6	2	6	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	240.708	3.0240338594204189e-12
training	crystm01	random-like-tol6	2	6	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	61784.667000000001	9.6935228033557931e-27
training	crystm01	random-like-tol6	3	7	0	pcg-ic0-cpu-v1	250	0	gate-rejected	2415.4169999999999	3.0240338594204189e-12
training	crystm01	random-like-tol6	3	7	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	233.833	3.0240338594204189e-12
training	crystm01	random-like-tol6	3	7	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	43985.832999999999	9.6935228033557931e-27
training	crystm01	random-like-tol6	4	2	0	pcg-ic0-cpu-v1	250	0	gate-rejected	2248.9169999999999	3.0240338594204189e-12
training	crystm01	random-like-tol6	4	2	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	133.542	3.0240338594204189e-12
training	crystm01	random-like-tol6	4	2	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	56586.540999999997	9.6935228033557931e-27
training	crystm01	random-like-tol10	0	10	0	pcg-ic0-cpu-v1	250	0	gate-rejected	2872.5839999999998	3.1160733020984962e-12
training	crystm01	random-like-tol10	0	10	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	133.625	3.1160733020984962e-12
training	crystm01	random-like-tol10	0	10	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	47871.25	9.289626019882635e-27
training	crystm01	random-like-tol10	1	3	0	pcg-ic0-cpu-v1	250	0	gate-rejected	2314.0830000000001	3.1160733020984962e-12
training	crystm01	random-like-tol10	1	3	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	136.042	3.1160733020984962e-12
training	crystm01	random-like-tol10	1	3	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	51881	9.289626019882635e-27
